Division,Team,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff

AL East
,Blue Jays,0.594,0.574,-0.020,0.680,0.549,-0.131,0.400,0.469,+0.069,0.438,0.451,+0.013,0.483,0.414,-0.069,0.684,0.533,-0.151,0.640,0.562,-0.078,0.600,0.568,-0.032,0.531,0.549,+0.018,0.433,0.457,+0.024,0.643,TBD,TBD
,Orioles,0.387,0.500,+0.113,0.444,0.549,+0.105,0.533,0.463,-0.070,0.586,0.290,-0.296,0.414,0.333,-0.081,0.526,0.417,-0.109,0.370,0.321,-0.049,0.500,0.512,+0.012,0.552,0.623,+0.071,0.793,0.562,-0.231,0.481,TBD,TBD
,Rays,0.536,0.494,-0.042,0.480,0.420,-0.060,0.429,0.494,+0.065,0.467,0.556,+0.089,0.433,0.593,+0.160,0.529,0.667,+0.138,0.464,0.617,+0.153,0.353,0.531,+0.178,0.517,0.611,+0.094,0.407,0.494,+0.087,0.480,TBD,TBD
,Red Sox,0.586,0.481,-0.105,0.438,0.574,+0.136,0.563,0.574,+0.011,0.710,0.667,-0.043,0.414,0.519,+0.105,0.450,0.400,-0.050,0.593,0.568,-0.025,0.579,0.481,-0.098,0.500,0.481,-0.019,0.613,0.500,-0.113,0.556,TBD,TBD
,Yankees,0.515,0.537,+0.022,0.467,0.519,+0.052,0.727,0.562,-0.165,0.581,0.617,+0.036,0.630,0.636,+0.006,0.619,0.550,-0.069,0.538,0.568,+0.030,0.444,0.611,+0.167,0.419,0.506,+0.087,0.467,0.580,+0.113,0.500,TBD,TBD

AL Central
,Guardians,0.438,0.503,+0.065,0.600,0.584,-0.016,0.515,0.630,+0.115,0.594,0.562,-0.032,0.548,0.574,+0.026,0.455,0.583,+0.128,0.357,0.494,+0.137,0.368,0.568,+0.200,0.429,0.469,+0.040,0.483,0.571,+0.088,0.419,TBD,TBD
,Royals,0.667,0.586,-0.081,0.400,0.500,+0.100,0.531,0.494,-0.037,0.552,0.358,-0.194,0.600,0.364,-0.236,0.429,0.433,+0.004,0.667,0.457,-0.210,0.500,0.401,-0.099,0.594,0.346,-0.248,0.500,0.531,+0.031,0.625,TBD,TBD
,Tigers,0.375,0.460,+0.085,0.621,0.534,-0.087,0.400,0.395,-0.005,0.464,0.395,-0.069,0.500,0.292,-0.208,0.421,0.397,-0.024,0.520,0.475,-0.045,0.438,0.407,-0.031,0.467,0.481,+0.014,0.690,0.531,-0.159,0.444,TBD,TBD
,Twins,0.448,0.512,+0.064,0.633,0.364,-0.269,0.552,0.525,-0.027,0.500,0.481,-0.019,0.519,0.623,+0.104,0.438,0.600,+0.162,0.423,0.451,+0.028,0.474,0.481,+0.007,0.483,0.537,+0.054,0.321,0.506,+0.185,0.464,TBD,TBD
,White Sox,0.393,0.469,+0.076,0.567,0.481,-0.086,0.485,0.414,-0.071,0.571,0.383,-0.188,0.414,0.447,+0.033,0.600,0.583,-0.017,0.500,0.574,+0.074,0.474,0.500,+0.026,0.462,0.377,-0.085,0.310,0.253,-0.057,0.367,TBD,TBD

AL West
